"","TrainNo","AvgDelay"
"1","12301",42
"2","12302",43
"3","12305",35
"4","12306",84
"5","12309",44
"6","12310",60
"7","12313",38
"8","12314",45
"9","12423",0
"10","12424",0
"11","12425",46
"12","12426",21
"13","12431",0
"14","12432",18
"15","12433",63
"16","12434",59
"17","12437",48
"18","12438",25
"19","12441",102
"20","12442",56
"21","12453",35
"22","12454",32
"23","12951",23
"24","12952",30
"25","12953",22
"26","12954",15
"27","12957",14
"28","12958",18
"29","20407",67
"30","20408",50
"31","20501",0
"32","20502",0
"33","20503",0
"34","20504",0
"35","20505",0
"36","20506",0
"37","20817",84
"38","20818",49
"39","20839",50
"40","20840",70
"41","22221",39
"42","22222",37
"43","22413",18
"44","22414",75
"45","22691",0
"46","22692",0
"47","22811",57
"48","22812",46
"49","22823",67
"50","22824",71
"51","12001",44
"52","12002",28
"53","12003",19
"54","12004",26
"55","12005",12
"56","12006",12
"57","12007",15
"58","12008",13
"59","12009",11
"60","12010",15
"61","12011",24
"62","12012",14
"63","12013",25
"64","12014",15
"65","12015",14
"66","12016",13
"67","12017",18
"68","12018",17
"69","12019",17
"70","12020",12
"71","12025",18
"72","12026",29
"73","12027",11
"74","12028",12
"75","12029",23
"76","12030",15
"77","12031",24
"78","12032",20
"79","12033",15
"80","12034",18
"81","12039",12
"82","12040",16
"83","12041",41
"84","12042",30
"85","12045",12
"86","12046",12
"87","12049",16
"88","12050",24
"89","12087",12
"90","12088",19
"91","12243",9
"92","12244",17
"93","12277",63
"94","12278",37
"95","12461",8
"96","12462",23
"97","20171",21
"98","20172",11
"99","20173",12
"100","20174",33
"101","20607",13
"102","20608",11
"103","20631",4
"104","20632",0
"105","20633",11
"106","20634",13
"107","20643",10
"108","20644",7
"109","20661",34
"110","20662",29
"111","20665",3
"112","20666",11
"113","20677",0
"114","20678",6
"115","20701",19
"116","20702",14
"117","20703",0
"118","20704",9
"119","20825",25
"120","20826",21
"121","20833",42
"122","20834",49
"123","20835",0
"124","20836",0
"125","20897",24
"126","20898",0
"127","20901",11
"128","20902",14
"129","20911",4
"130","20912",4
"131","20977",12
"132","20978",9
"133","20979",4
"134","20980",5
"135","22223",13
"136","22224",10
"137","22225",14
"138","22226",11
"139","22227",25
"140","22228",21
"141","22229",10
"142","22230",26
"143","22301",18
"144","22302",32
"145","22347",5
"146","22348",3
"147","22349",48
"148","22350",23
"149","22435",29
"150","22436",30
"151","22439",17
"152","22440",27
"153","22447",19
"154","22448",24
"155","22457",14
"156","22458",16
"157","22549",10
"158","22550",4
"159","22895",22
"160","22896",32
"161","22925",5
"162","22926",10
"163","12213",0
"164","12214",0
"165","12219",32
"166","12220",39
"167","12221",213
"168","12222",373
"169","12223",58
"170","12224",59
"171","12227",46
"172","12228",44
"173","12239",12
"174","12240",41
"175","12245",72
"176","12246",49
"177","12259",72
"178","12260",143
"179","12261",210
"180","12262",336
"181","12263",43
"182","12264",58
"183","12265",11
"184","12266",21
"185","12267",18
"186","12268",22
"187","12269",154
"188","12270",159
"189","12273",94
"190","12274",110
"191","12281",172
"192","12282",204
"193","12283",0
"194","12284",0
"195","12285",66
"196","12286",103
"197","12289",19
